aid, adid, context_name, load_result_type, num_potential_contexts_to_load, num_existing_contexts, num_contexts_loaded, message
488896, 973, biology, success, 2, null, 2, null, 
488896, 973, assay format, success, 2, null, 2, null, 
488896, 973, assay component, success, 2, null, 2, null, 
488896, 973, detection method type, success, 2, null, 2, null, 
488896, 973, assay readout, success, 3, null, 3, null, 
488896, 973, detection method, success, 2, null, 2, null, 
488896, 973, assay footprint, success, 1, null, 1, null, 
488896, 973, measurement wavelength, success, 2, null, 2, null, 
488896, 973, activity threshold, success, 3, null, 3, null, 
488896, 973, number of replicates, success, 2, null, 2, null, 
488896, 973, project lead name, success, 1, null, 1, null, 
488896, 973, assay component, success, 1, null, 1, null, 
488952, null, project lead name, fail, 1, null, 0, could not find ADID for AID, 
488896, 973, biology, success, 2, null, 2, null, 
488896, 973, assay format, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104552, 
488896, 973, assay component, success, 6, null, 6, null, 
488896, 973, detection method type, success, 2, null, 2, null, 
488896, 973, assay readout, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 104555, 
488896, 973, assay footprint, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 104557, 
488896, 973, measurement wavelength, success, 2, null, 2, null, 
488896, 973, activity threshold, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 104559, 
488896, 973, number of replicates, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104560, 
488896, 973, project lead name, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 104561, 
488896, 973, biology, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104563, 
488896, 973, assay format, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104552, 
488896, 973, assay component, success, 4, null, 4, null, 
488896, 973, detection method type, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104565, 
488896, 973, assay readout, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 104555, 
488896, 973, assay footprint, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 104557, 
488896, 973, measurement wavelength, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104566, 
488896, 973, activity threshold, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 104559, 
488896, 973, number of replicates, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104560, 
488896, 973, project lead name, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 104561, 
488896, 973, biology, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104563, 
488896, 973, assay format, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104552, 
488896, 973, assay component, success, 6, null, 6, null, 
488896, 973, detection method type, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104565, 
488896, 973, assay readout, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 104555, 
488896, 973, detection method, success, 2, null, 2, null, 
488896, 973, assay footprint, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 104557, 
488896, 973, measurement wavelength, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104566, 
488896, 973, activity threshold, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 104559, 
488896, 973, number of replicates, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104560, 
488896, 973, project lead name, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 104561, 
488952, null, project lead name, fail, 1, null, 0, could not find ADID for AID, 
493194, 1468, biology, success, 2, null, 2, null, 
493194, 1468, assay format, success, 2, null, 2, null, 
493194, 1468, assay component, success, 6, null, 6, null, 
493194, 1468, detection method type, success, 2, null, 2, null, 
493194, 1468, assay readout, success, 3, null, 3, null, 
493194, 1468, assay footprint, success, 1, null, 1, null, 
493194, 1468, measurement wavelength, success, 2, null, 2, null, 
493194, 1468, activity threshold, success, 3, null, 3, null, 
493194, 1468, number of replicates, success, 2, null, 2, null, 
493194, 1468, project lead name, success, 1, null, 1, null, 
493194, 1468, biology, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104570, 
493194, 1468, assay format, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104571, 
493194, 1468, assay component, success, 4, null, 4, null, 
493194, 1468, detection method type, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104573, 
493194, 1468, assay readout, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 104574, 
493194, 1468, assay footprint, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 104575, 
493194, 1468, measurement wavelength, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104576, 
493194, 1468, activity threshold, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 104577, 
493194, 1468, number of replicates, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104578, 
493194, 1468, project lead name, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 104579, 
493194, 1468, biology, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104570, 
493194, 1468, assay format, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104571, 
493194, 1468, assay component, success, 6, null, 6, null, 
493194, 1468, detection method type, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104573, 
493194, 1468, assay readout, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 104574, 
493194, 1468, detection method, success, 2, null, 2, null, 
493194, 1468, assay footprint, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 104575, 
493194, 1468, measurement wavelength, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 104576, 
