NSC	CELL	ptConc	ptResp	ptPred	ptErr
28055	14	0.0039063	-1111	103.03	7.5426
28055	14	0.0078125	103.8	102.29	5.1664
28055	14	0.015625	98.7	100.87	5.7447
28055	14	0.03125	99.42	98.171	6.9843
28055	14	0.0625	92.98	93.239	8.8723
28056	14	0.0039063	105.3	102.94	13.966
28056	14	0.0078125	104.4	102.94	13.966
28056	14	0.015625	96.16	102.94	13.966
28056	14	0.03125	106	102.93	12.939
28056	14	0.0625	44.65	44.468	36.507
28057	14	0.0039063	107.9	107.75	6.3647
28057	14	0.0078125	109.3	107.65	5.8532
28057	14	0.015625	104.6	107.1	4.8672
28057	14	0.03125	104.8	104.01	9.0628
28057	14	0.0625	89.07	89.167	9.5841
28058	14	0.0039063	101.5	100.84	2.6082
28058	14	0.0078125	101.3	100.84	2.5985
28058	14	0.015625	99.57	100.77	2.4353
28058	14	0.03125	98.96	98.873	4.3139
28058	14	0.0625	64.5	64.502	4.3643
28059	14	0.0039063	104.6	105.02	10.959
28059	14	0.0078125	105.6	105.02	10.959
28059	14	0.015625	101	105.02	10.959
28059	14	0.03125	109.7	105.02	10.686
28059	14	0.0625	95.11	95.658	NaN
28060	14	0.0039063	96.25	97.107	26.657
28060	14	0.0078125	98.98	97.043	20.846
28060	14	0.015625	95.17	96.621	31.662
28060	14	0.03125	94.62	94.194	30.39
28060	14	0.0625	86.6	86.64	33.278
28061	14	0.0039063	104.8	106.65	6.0006
28061	14	0.0039063	107	106.65	6.0006
28061	14	0.0039063	110.3	106.65	6.0006
28061	14	0.0078125	106.4	106.57	5.5311
28061	14	0.0078125	106	106.57	5.5311
28061	14	0.0078125	105.2	106.57	5.5311
28061	14	0.015625	107.4	104.56	8.8132
28061	14	0.015625	100.2	104.56	8.8132
28061	14	0.015625	106.1	104.56	8.8132
28061	14	0.03125	53.99	70.315	7.896
28061	14	0.03125	78.67	70.315	7.896
28061	14	0.03125	78.31	70.315	7.896
28061	14	0.0625	6.94	7.1286	8.5029
28061	14	0.0625	4.736	7.1286	8.5029
28061	14	0.0625	9.567	7.1286	8.5029
