aid, adid, context_name, load_result_type, num_potential_contexts_to_load, num_existing_contexts, num_contexts_loaded, message
1554, 3669, biology, success, 2, null, 2, null, 
1554, 3669, assay format, success, 2, null, 2, null, 
1554, 3669, assay component, success, 6, null, 6, null, 
1554, 3669, detection method type, success, 2, null, 2, null, 
1554, 3669, assay readout, success, 3, null, 3, null, 
1554, 3669, detection method, success, 2, null, 2, null, 
1554, 3669, assay footprint, success, 1, null, 1, null, 
1554, 3669, activity threshold, success, 3, null, 3, null, 
1554, 3669, number of replicates, success, 2, null, 2, null, 
1554, 3669, project lead name, success, 1, null, 1, null, 
1554, 3669, biology, success, 2, null, 2, null, 
1674, null, project lead name, fail, 1, null, 0, could not find ADID for AID, 
1933, 3944, biology, success, 2, null, 2, null, 
1933, 3944, assay format, success, 2, null, 2, null, 
1933, 3944, assay component, success, 6, null, 6, null, 
1933, 3944, detection method type, success, 2, null, 2, null, 
1933, 3944, assay readout, success, 3, null, 3, null, 
1933, 3944, detection method, success, 2, null, 2, null, 
1933, 3944, assay footprint, success, 1, null, 1, null, 
1933, 3944, activity threshold, success, 3, null, 3, null, 
1933, 3944, number of replicates, success, 2, null, 2, null, 
1933, 3944, project lead name, success, 1, null, 1, null, 
1933, 3944, activity threshold, success, 1, null, 1, null, 
1934, 3945, biology, success, 2, null, 2, null, 
1934, 3945, assay format, success, 2, null, 2, null, 
1934, 3945, assay component, success, 6, null, 6, null, 
1934, 3945, detection method type, success, 2, null, 2, null, 
1934, 3945, assay readout, success, 3, null, 3, null, 
1934, 3945, detection method, success, 2, null, 2, null, 
1934, 3945, assay footprint, success, 1, null, 1, null, 
1934, 3945, activity threshold, success, 3, null, 3, null, 
1934, 3945, number of replicates, success, 2, null, 2, null, 
1934, 3945, project lead name, success, 1, null, 1, null, 
1934, 3945, biology, success, 2, null, 2, null, 
1934, 3945, activity threshold, success, 1, null, 1, null, 
1935, 3946, biology, success, 2, null, 2, null, 
1935, 3946, assay format, success, 2, null, 2, null, 
1935, 3946, assay component, success, 6, null, 6, null, 
1935, 3946, detection method type, success, 2, null, 2, null, 
1935, 3946, assay readout, success, 3, null, 3, null, 
1935, 3946, detection method, success, 2, null, 2, null, 
1935, 3946, assay footprint, success, 1, null, 1, null, 
1935, 3946, activity threshold, success, 3, null, 3, null, 
1935, 3946, number of replicates, success, 2, null, 2, null, 
1935, 3946, project lead name, success, 1, null, 1, null, 
1935, 3946, activity threshold, success, 1, null, 1, null, 
1936, 3947, biology, success, 2, null, 2, null, 
1936, 3947, assay format, success, 2, null, 2, null, 
1936, 3947, assay component, success, 6, null, 6, null, 
1936, 3947, detection method type, success, 2, null, 2, null, 
1936, 3947, assay readout, success, 3, null, 3, null, 
1936, 3947, detection method, success, 2, null, 2, null, 
1936, 3947, assay footprint, success, 1, null, 1, null, 
1936, 3947, activity threshold, success, 3, null, 3, null, 
1936, 3947, number of replicates, success, 2, null, 2, null, 
1936, 3947, project lead name, success, 1, null, 1, null, 
1936, 3947, biology, success, 2, null, 2, null, 
1936, 3947, activity threshold, success, 1, null, 1, null, 
2607, 2347, biology, success, 2, null, 2, null, 
2607, 2347, assay format, success, 2, null, 2, null, 
2607, 2347, assay component, success, 6, null, 6, null, 
2607, 2347, detection method type, success, 2, null, 2, null, 
2607, 2347, assay readout, success, 3, null, 3, null, 
2607, 2347, detection method, success, 2, null, 2, null, 
2607, 2347, assay footprint, success, 1, null, 1, null, 
2607, 2347, activity threshold, success, 3, null, 3, null, 
2607, 2347, number of replicates, success, 2, null, 2, null, 
2607, 2347, project lead name, success, 1, null, 1, null, 
2607, 2347, biology, success, 2, null, 2, null, 
2608, 2348, biology, success, 2, null, 2, null, 
2608, 2348, assay format, success, 2, null, 2, null, 
2608, 2348, assay component, success, 6, null, 6, null, 
2608, 2348, detection method type, success, 2, null, 2, null, 
2608, 2348, assay readout, success, 3, null, 3, null, 
2608, 2348, detection method, success, 2, null, 2, null, 
2608, 2348, assay footprint, success, 1, null, 1, null, 
2608, 2348, activity threshold, success, 3, null, 3, null, 
2608, 2348, number of replicates, success, 2, null, 2, null, 
2608, 2348, project lead name, success, 1, null, 1, null, 
2608, 2348, biology, success, 2, null, 2, null, 
2609, 2349, biology, success, 2, null, 2, null, 
2609, 2349, assay format, success, 2, null, 2, null, 
2609, 2349, assay component, success, 6, null, 6, null, 
2609, 2349, detection method type, success, 2, null, 2, null, 
2609, 2349, assay readout, success, 3, null, 3, null, 
2609, 2349, detection method, success, 2, null, 2, null, 
2609, 2349, assay footprint, success, 1, null, 1, null, 
2609, 2349, activity threshold, success, 3, null, 3, null, 
2609, 2349, number of replicates, success, 2, null, 2, null, 
2609, 2349, project lead name, success, 1, null, 1, null, 
2610, 2350, biology, success, 2, null, 2, null, 
2610, 2350, assay format, success, 2, null, 2, null, 
2610, 2350, assay component, success, 6, null, 6, null, 
2610, 2350, detection method type, success, 2, null, 2, null, 
2610, 2350, assay readout, success, 3, null, 3, null, 
2610, 2350, detection method, success, 2, null, 2, null, 
2610, 2350, assay footprint, success, 1, null, 1, null, 
2610, 2350, activity threshold, success, 3, null, 3, null, 
2610, 2350, number of replicates, success, 2, null, 2, null, 
2610, 2350, project lead name, success, 1, null, 1, null, 
2610, 2350, biology, success, 2, null, 2, null, 
2611, 2351, biology, success, 2, null, 2, null, 
2611, 2351, assay format, success, 2, null, 2, null, 
2611, 2351, assay component, success, 6, null, 6, null, 
2611, 2351, detection method type, success, 2, null, 2, null, 
2611, 2351, assay readout, success, 3, null, 3, null, 
2611, 2351, detection method, success, 2, null, 2, null, 
2611, 2351, assay footprint, success, 1, null, 1, null, 
2611, 2351, activity threshold, success, 3, null, 3, null, 
2611, 2351, number of replicates, success, 2, null, 2, null, 
2611, 2351, project lead name, success, 1, null, 1, null, 
2631, 2526, biology, success, 2, null, 2, null, 
2631, 2526, assay format, success, 2, null, 2, null, 
2631, 2526, assay component, success, 6, null, 6, null, 
2631, 2526, detection method type, success, 2, null, 2, null, 
2631, 2526, assay readout, success, 3, null, 3, null, 
2631, 2526, detection method, success, 2, null, 2, null, 
2631, 2526, assay footprint, success, 1, null, 1, null, 
2631, 2526, activity threshold, success, 3, null, 3, null, 
2631, 2526, number of replicates, success, 2, null, 2, null, 
2631, 2526, project lead name, success, 1, null, 1, null, 
2633, 2528, biology, success, 2, null, 2, null, 
2633, 2528, assay format, success, 2, null, 2, null, 
2633, 2528, assay component, success, 6, null, 6, null, 
2633, 2528, detection method type, success, 2, null, 2, null, 
2633, 2528, assay readout, success, 3, null, 3, null, 
2633, 2528, detection method, success, 2, null, 2, null, 
2633, 2528, assay footprint, success, 1, null, 1, null, 
