filename, row_num, aid, status, num_context_saved, message
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 2, 2124, fail, 0, aid found in cell not a number or not in must load list, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 3, 2684, fail, 0, aid found in cell not a number or not in must load list, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 6, 434922, fail, 0, aid found in cell not a number or not in must load list, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 9, 434924, fail, 0, aid found in cell not a number or not in must load list, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 12, 434925, fail, 0, aid found in cell not a number or not in must load list, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 15, 488861, fail, 0, aid found in cell not a number or not in must load list, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 18, 488957, fail, 0, aid found in cell not a number or not in must load list, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 19, 504524, fail, 0, aid found in cell not a number or not in must load list, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 21, 540288, fail, 0, aid found in cell not a number or not in must load list, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 24, 588575, success, 14, successfully loaded assay context, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 27, 588578, success, 14, successfully loaded assay context, 
Burnham Center for Chemical Genomics_remaining_11_20130123.xlsx, 30, 602449, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 2, 2375, success, 12, successfully loaded assay context, 
MAAS_UNM 3-26-13.xlsx, 7, 2375-2, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 9, 463089, success, 12, successfully loaded assay context, 
MAAS_UNM 3-26-13.xlsx, 12, 463089-2, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 13, 463089-3, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 14, 588477, success, 14, successfully loaded assay context, 
MAAS_UNM 3-26-13.xlsx, 18, 588477-2, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 19, 588477-3, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 20, 588477-4, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 21, 588477-5, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 22, 588477-6, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 23, 588477-7, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 24, 588477-8, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 25, 602146, success, 12, successfully loaded assay context, 
MAAS_UNM 3-26-13.xlsx, 29, 602148, success, 13, successfully loaded assay context, 
MAAS_UNM 3-26-13.xlsx, 34, 588622, success, 14, successfully loaded assay context, 
MAAS_UNM 3-26-13.xlsx, 38, 588622-2, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 39, 588622-3, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 40, 588622-4, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 41, 588622-5, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 42, 588479, success, 14, successfully loaded assay context, 
MAAS_UNM 3-26-13.xlsx, 46, 588479-2, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 47, 588479-3, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 48, 588479-4, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 49, 588479-5, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 50, 588479-6, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 51, 588479-7, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 52, 588479-8, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 53, 504627, success, 9, successfully loaded assay context, 
MAAS_UNM 3-26-13.xlsx, 55, 504627-2, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 56, 504627-3, fail, 0, aid found in cell not a number or not in must load list, 
MAAS_UNM 3-26-13.xlsx, 57, 504627-4, fail, 0, aid found in cell not a number or not in must load list, 
NMMLSC_AW20130207_ToBroad.xlsx, 2, 623907, success, 0, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 4, 623910, success, 0, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 6, 623905, success, 0, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 7, 602462, nothingToLoad, 0, null, 
NMMLSC_AW20130207_ToBroad.xlsx, 8, 602463, nothingToLoad, 0, null, 
NMMLSC_AW20130207_ToBroad.xlsx, 9, 602457, nothingToLoad, 0, null, 
NMMLSC_AW20130207_ToBroad.xlsx, 10, 602458, nothingToLoad, 0, null, 
NMMLSC_AW20130207_ToBroad.xlsx, 11, 623957, success, 4, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 13, 588550, success, 8, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 16, 588561, success, 0, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 17, 602162, success, 8, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 20, 602430, success, 8, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 23, 623955, success, 8, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 26, 588358, success, 5, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 27, 588358, success, 3, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 29, 588367, success, 0, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 30, 588368, success, 7, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 33, 588466, success, 8, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 36, 602251, success, 8, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 39, 588373, success, 9, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 44, 588377, success, 9, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 49, 588381, success, 9, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 54, 588383, success, 9, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 59, 588393, success, 0, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 64, 588477, nothingToLoad, 0, null, 
NMMLSC_AW20130207_ToBroad.xlsx, 69, 588685, success, 9, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 75, 588701, success, 0, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 76, 624256, success, 9, successfully loaded assay context, 
NMMLSC_AW20130207_ToBroad.xlsx, 82, 588460, success, 7, successfully loaded assay context, 
