aid, adid, context_name, load_result_type, num_potential_contexts_to_load, num_existing_contexts, num_contexts_loaded, message
588575, 2137, biology, success, 2, null, 2, null, 
588575, 2137, assay format, success, 2, null, 2, null, 
588575, 2137, assay component, success, 6, null, 6, null, 
588575, 2137, detection method type, success, 2, null, 2, null, 
588575, 2137, assay readout, success, 3, null, 3, null, 
588575, 2137, assay footprint, success, 1, null, 1, null, 
588575, 2137, measurement wavelength, success, 2, null, 2, null, 
588575, 2137, activity threshold, success, 3, null, 3, null, 
588575, 2137, number of replicates, success, 2, null, 2, null, 
588575, 2137, project lead name, success, 1, null, 1, null, 
588575, 2137, assay component, success, 5, null, 5, null, 
588575, 2137, detection method, success, 2, null, 2, null, 
588575, 2137, project lead name, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 117464, 
588575, 2137, assay component, success, 4, null, 4, null, 
588575, 2137, detection method, success, 2, null, 2, null, 
588575, 2137, project lead name, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 117464, 
588578, 2140, biology, success, 2, null, 2, null, 
588578, 2140, assay format, success, 2, null, 2, null, 
588578, 2140, assay component, success, 6, null, 6, null, 
588578, 2140, detection method type, success, 2, null, 2, null, 
588578, 2140, assay readout, success, 3, null, 3, null, 
588578, 2140, assay footprint, success, 1, null, 1, null, 
588578, 2140, measurement wavelength, success, 2, null, 2, null, 
588578, 2140, activity threshold, success, 3, null, 3, null, 
588578, 2140, number of replicates, success, 2, null, 2, null, 
588578, 2140, project lead name, success, 1, null, 1, null, 
588578, 2140, assay component, success, 5, null, 5, null, 
588578, 2140, detection method, success, 2, null, 2, null, 
588578, 2140, project lead name, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 117478, 
588578, 2140, assay component, success, 4, null, 4, null, 
588578, 2140, detection method, success, 2, null, 2, null, 
588578, 2140, project lead name, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 117478, 
2375, 4584, biology, success, 2, null, 2, null, 
2375, 4584, assay format, success, 2, null, 2, null, 
2375, 4584, assay component, success, 4, null, 4, null, 
2375, 4584, detection method type, success, 2, null, 2, null, 
2375, 4584, assay readout, success, 3, null, 3, null, 
2375, 4584, detection method, success, 2, null, 2, null, 
2375, 4584, activity threshold, success, 2, null, 2, null, 
2375, 4584, biology, success, 2, null, 2, null, 
2375, 4584, assay component, success, 4, null, 4, null, 
2375, 4584, assay component, success, 4, null, 4, null, 
2375, 4584, assay component, success, 5, null, 5, null, 
2375, 4584, assay component, success, 4, null, 4, null, 
463089, 2736, biology, success, 2, null, 2, null, 
463089, 2736, assay format, success, 2, null, 2, null, 
463089, 2736, assay component, success, 6, null, 6, null, 
463089, 2736, detection method type, success, 2, null, 2, null, 
463089, 2736, assay readout, success, 3, null, 3, null, 
463089, 2736, detection method, success, 2, null, 2, null, 
463089, 2736, assay footprint, success, 1, null, 1, null, 
463089, 2736, measurement wavelength, success, 2, null, 2, null, 
463089, 2736, activity threshold, success, 1, null, 1, null, 
463089, 2736, biology, success, 2, null, 2, null, 
463089, 2736, assay component, success, 6, null, 6, null, 
463089, 2736, measurement wavelength, success, 2, null, 2, null, 
463089, 2736, assay component, fail, 6, null, 0, possible GO term or species name that is not mapped: Streptomyces avidinii in species name, 
588477, 5200, biology, success, 2, null, 2, null, 
588477, 5200, assay format, success, 2, null, 2, null, 
588477, 5200, assay component, success, 5, null, 5, null, 
588477, 5200, detection method type, success, 2, null, 2, null, 
588477, 5200, assay readout, success, 3, null, 3, null, 
588477, 5200, detection method, success, 2, null, 2, null, 
588477, 5200, assay footprint, success, 1, null, 1, null, 
588477, 5200, measurement wavelength, success, 2, null, 2, null, 
588477, 5200, activity threshold, success, 1, null, 1, null, 
588477, 5200, biology, success, 2, null, 2, null, 
588477, 5200, assay component, success, 2, null, 2, null, 
588477, 5200, measurement wavelength, success, 2, null, 2, null, 
588477, 5200, assay component, success, 5, null, 5, null, 
588477, 5200, assay component, success, 5, null, 5, null, 
602146, 5889, biology, success, 2, null, 2, null, 
602146, 5889, assay component, success, 4, null, 4, null, 
602146, 5889, detection method type, success, 2, null, 2, null, 
602146, 5889, assay readout, success, 3, null, 3, null, 
602146, 5889, detection method, success, 2, null, 2, null, 
602146, 5889, assay footprint, success, 1, null, 1, null, 
602146, 5889, activity threshold, success, 2, null, 2, null, 
602146, 5889, biology, success, 2, null, 2, null, 
602146, 5889, assay format, success, 2, null, 2, null, 
602146, 5889, assay component, success, 4, null, 4, null, 
602146, 5889, assay component, success, 4, null, 4, null, 
602146, 5889, assay component, success, 4, null, 4, null, 
602148, 5890, biology, success, 2, null, 2, null, 
602148, 5890, assay format, success, 2, null, 2, null, 
602148, 5890, assay component, success, 4, null, 4, null, 
602148, 5890, detection method type, success, 2, null, 2, null, 
602148, 5890, assay readout, success, 3, null, 3, null, 
602148, 5890, detection method, success, 2, null, 2, null, 
602148, 5890, assay footprint, success, 1, null, 1, null, 
602148, 5890, activity threshold, success, 1, null, 1, null, 
602148, 5890, biology, success, 2, null, 2, null, 
602148, 5890, assay component, success, 5, null, 5, null, 
602148, 5890, assay component, success, 4, null, 4, null, 
602148, 5890, assay component, success, 4, null, 4, null, 
602148, 5890, assay component, success, 4, null, 4, null, 
588622, 5253, biology, success, 2, null, 2, null, 
588622, 5253, assay format, success, 2, null, 2, null, 
588622, 5253, assay component, success, 5, null, 5, null, 
588622, 5253, detection method type, success, 2, null, 2, null, 
588622, 5253, assay readout, success, 3, null, 3, null, 
588622, 5253, detection method, success, 2, null, 2, null, 
588622, 5253, assay footprint, success, 1, null, 1, null, 
588622, 5253, measurement wavelength, success, 2, null, 2, null, 
588622, 5253, activity threshold, success, 1, null, 1, null, 
588622, 5253, biology, success, 2, null, 2, null, 
588622, 5253, assay component, success, 2, null, 2, null, 
588622, 5253, measurement wavelength, success, 2, null, 2, null, 
588622, 5253, assay component, success, 5, null, 5, null, 
588622, 5253, assay component, success, 5, null, 5, null, 
588479, 5201, biology, success, 2, null, 2, null, 
588479, 5201, assay format, success, 2, null, 2, null, 
588479, 5201, assay component, success, 5, null, 5, null, 
588479, 5201, detection method type, success, 2, null, 2, null, 
588479, 5201, assay readout, success, 3, null, 3, null, 
588479, 5201, detection method, success, 2, null, 2, null, 
588479, 5201, assay footprint, success, 1, null, 1, null, 
588479, 5201, measurement wavelength, success, 2, null, 2, null, 
588479, 5201, activity threshold, success, 1, null, 1, null, 
588479, 5201, biology, success, 2, null, 2, null, 
588479, 5201, assay component, success, 2, null, 2, null, 
588479, 5201, measurement wavelength, success, 2, null, 2, null, 
588479, 5201, assay component, success, 5, null, 5, null, 
588479, 5201, assay component, success, 5, null, 5, null, 
504627, 1636, biology, success, 2, null, 2, null, 
504627, 1636, assay format, success, 2, null, 2, null, 
504627, 1636, assay component, success, 6, null, 6, null, 
504627, 1636, detection method type, success, 2, null, 2, null, 
504627, 1636, assay readout, success, 3, null, 3, null, 
504627, 1636, detection method, success, 2, null, 2, null, 
504627, 1636, measurement wavelength, success, 2, null, 2, null, 
504627, 1636, activity threshold, success, 2, null, 2, null, 
504627, 1636, assay component, success, 4, null, 4, null, 
623907, null, biology, fail, 1, null, 0, could not find ADID for AID, 
623910, null, biology, fail, 1, null, 0, could not find ADID for AID, 
623905, null, biology, fail, 1, null, 0, could not find ADID for AID, 
623957, 234, assay format, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 81673, 
623957, 234, assay component, deleteOriginal, 4, 1, 4, load contains more information than original, delete original 1344, 
623957, 234, assay component, success, 4, null, 4, null, 
623957, 234, detection method type, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 81674, 
623957, 234, assay readout, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 81675, 
623957, 234, assay footprint, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 81676, 
623957, 234, measurement wavelength, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 81677, 
623957, 234, activity threshold, deleteOriginal, 3, 1, 3, load contains more information than original, delete original 81678, 
623957, 234, activity threshold, success, 3, null, 3, null, 
623957, 234, number of replicates, success, 2, null, 2, null, 
623957, 234, project lead name, success, 1, null, 1, null, 
623957, 234, detection method type, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 81680, 
588550, 2123, biology, success, 2, null, 2, null, 
