AID#,Orig pre-sprted Order,Grant #,Assay Name,Assay Target,Assay Sub-type,Assay Center,Grant Title,Assay Provider,Project UID,summary_aid_and_NA,summary_aid
454,,MH076343-01,VCAM-1 Plate Reader Assay in Pooled HUVECs: Inhibition of TNFa induced (AID 454),Primary,--,Burnham,Cellular assay for the presentation of the adhesion molecule VCAM1 on the surface of HUVEC cells,Thomas Mayer,1,#N/A,
455,,MH076343-01,VCAM-1 Plate Reader Assay in Pooled HUVECs: Augmentation of TNFa induced VCAM-1 cell surface expression (AID 455),Primary,--,Burnham,Cellular assay for the presentation of the adhesion molecule VCAM1 on the surface of HUVEC cells,Thomas Mayer,1,#N/A,
456,,MH076343-01,VCAM-1 Imaging Assay in Pooled HUVECs: Inhibition of TNFa induced VCAM-1 cell surface expression (AID 456),Primary,--,Burnham,Cellular assay for the presentation of the adhesion molecule VCAM1 on the surface of HUVEC cells,Thomas Mayer,1,#N/A,
457,,MH076343-01,VCAM-1 Imaging Assay in Pooled HUVECs: Augmentation of TNFa induced VCAM-1 cell surface expression. (AID 457),Primary,--,Burnham,Cellular assay for the presentation of the adhesion molecule VCAM1 on the surface of HUVEC cells,Thomas Mayer,2,#N/A,
430,,MH076387-01,Fluorescent HTS Cytotoxicity/Cell viability assay (HPDE-C7K cells) (AID 431) (AID 430),Primary,--,Burnham,Chemical Genetic Screening of Oncogene RAS-Based Inhibitors for Pancreatic Cancer,Xiaodong Cheng,3,#N/A,
431,,MH076387-01,Fluorescent HTS Cytotoxicity/Cell viability assay (HPDE-C7K cells) (AID 431) (AID 430),Primary,--,Burnham,Chemical Genetic Screening of Oncogene RAS-Based Inhibitors for Pancreatic Cancer,Xiaodong Cheng,3,#N/A,
425,,MH076390-01,MKP-3 in vitro HTS assay (AID 425) (AID 553) (AID 452) (AID 564),Primary,--,Burnham,In Vitro High Throughput Screening Assay for MKP-3,John Lazo,4,#N/A,
452,,MH076390-01,MKP-3 in vitro HTS assay (AID 425) (AID 553) (AID 452) (AID 564),Primary,--,Burnham,In Vitro High Throughput Screening Assay for MKP-3,John Lazo,4,#N/A,
452,,MH076390-01,In vitro MKP-3 Phosphatase Dose Response Confirmation and Secondary Selectivity/Selectivity Assay (AID 452) (AID 566),Secondary,--,Burnham,In Vitro High Throughput Screening Assay for MKP-3,John Lazo,4,#N/A,
553,,MH076390-01,MKP-3 in vitro HTS assay (AID 425) (AID 553) (AID 452) (AID 564),Primary,--,Burnham,In Vitro High Throughput Screening Assay for MKP-3,John Lazo,4,#N/A,
564,,MH076390-01,MKP-3 in vitro HTS assay (AID 425) (AID 553) (AID 452) (AID 564),Primary,--,Burnham,In Vitro High Throughput Screening Assay for MKP-3,John Lazo,4,#N/A,
564,,MH076390-01,In vitro MKP-3 Phosphatase Dose Response Active/Probe Assessment Assay - Effects of Catalase (AID 564),Secondary,--,Burnham,In Vitro High Throughput Screening Assay for MKP-3,John Lazo,4,#N/A,
566,,MH076390-01,In vitro MKP-3 Phosphatase Dose Response Confirmation and Secondary Selectivity/Selectivity Assay (AID 452) (AID 566),Secondary,--,Burnham,In Vitro High Throughput Screening Assay for MKP-3,John Lazo,4,#N/A,
1029,,MH076502-01,HCS for Compounds Inhibting Fc Receptor-mediated Phagocytosis in J774 Macrophages,Primary,--,Burnham,Unraveling the Molecular Mechanisms of Phagocytosis,Fabienne Paumet,5,#N/A,
1618,,MH076502-01,HCS for Compounds Inhibting Fc Receptor-mediated Phagocytosis in J774 Macrophages,Primary,--,Burnham,Unraveling the Molecular Mechanisms of Phagocytosis,Fabienne Paumet,5,#N/A,
1643,,MH076502-01,HCS for Compounds Inhibting Fc Receptor-mediated Phagocytosis in J774 Macrophages,Primary,--,Burnham,Unraveling the Molecular Mechanisms of Phagocytosis,Fabienne Paumet,5,1643,1643
518,,MH077602-01,TNAP luminescent HTS assay (AID 518) (AID 614) (AID 615),Primary,--,Burnham,Pharmacological inhibitors of tissue-nonspecific alkaline phosphatase (TNAP),Jose Millan,6,#N/A,
614,,MH077602-01,TNAP luminescent HTS assay (AID 518) (AID 614) (AID 615),Primary,--,Burnham,Pharmacological inhibitors of tissue-nonspecific alkaline phosphatase (TNAP),Jose Millan,6,#N/A,
614,,MH077602-01,HTS colorimetric detection of phosphate released in TNAP reaction (AID 614),Secondary,--,Burnham,Pharmacological inhibitors of tissue-nonspecific alkaline phosphatase (TNAP),Jose Millan,6,#N/A,
615,,MH077602-01,TNAP luminescent HTS assay (AID 518) (AID 614) (AID 615),Primary,--,Burnham,Pharmacological inhibitors of tissue-nonspecific alkaline phosphatase (TNAP),Jose Millan,6,#N/A,
615,,MH077602-01,HTS colorimetric detection of p-nitrophenol released in TNAP reaction (AID 615),Secondary,--,Burnham,Pharmacological inhibitors of tissue-nonspecific alkaline phosphatase (TNAP),Jose Millan,6,#N/A,
690,,MH077602-01,Luminescent assay for HTS discovery of chemical activators of placental alkaline phosphatase (PLAP) (AID 690),Primary,--,Burnham,Pharmacological inhibitors of tissue-nonspecific alkaline phosphatase (TNAP),Jose Millan,7,#N/A,
1577,,MH077602-01,Luminescent assay for HTS discovery of chemical activators of placental alkaline phosphatase (PLAP) (AID 690),Primary,--,Burnham,Pharmacological inhibitors of tissue-nonspecific alkaline phosphatase (TNAP),Jose Millan,7,1577,1577
696,,MH077602-01,Luminescent assay for HTS discovery of chemical inhibitors of placental alkaline phosphatase (PLAP) (AID 696),Primary,--,Burnham,Pharmacological inhibitors of tissue-nonspecific alkaline phosphatase (TNAP),Jose Millan,8,#N/A,
521,,MH077603-01,"HTS Discovery of Chemical Inhibitors of HePTP, a Leukemia Target (AID 521)",Primary,--,Burnham,HTS for HePTP Inhibitors-a leukemia target,Tomas Mustelin,9,#N/A,
2085,,MH077603-01,"HTS Discovery of Chemical Inhibitors of HePTP, a Leukemia Target (AID 521)",Primary,--,Burnham,HTS for HePTP Inhibitors-a leukemia target,Tomas Mustelin,9,2085,2085
689,,MH077609-01,Colorimetric assay for HTS discovery of chemical inhibitors of EphA4 receptor antagonists (AID 689) (AID 779),Primary,--,Burnham,EphA4 Receptor Antagonists for Nervous System Repair,Elena Pasquale,10,#N/A,
779,,MH077609-01,Counter Screen for Placental Alkaline Phosphatase-based Assays Positives (AID 779),Secondary,--,Burnham,EphA4 Receptor Antagonists for Nervous System Repair,Elena Pasquale,10,#N/A,
779,,MH077609-01,Colorimetric assay for HTS discovery of chemical inhibitors of EphA4 receptor antagonists (AID 689) (AID 779),Primary,--,Burnham,EphA4 Receptor Antagonists for Nervous System Repair,Elena Pasquale,10,#N/A,
432,,MH077632-01,HTS discovery of chemical inhibitors of anti-apoptotic protein Bfl-1 (AID 432) (AID 621),Primary,--,Burnham,Chemical Inhibitors of anti-apoptotic protein Bfl-1,John Reed,11,#N/A,
621,,MH077632-01,TR-FRET secondary assay for HTS discovery of chemical inhibitors of anti-apoptotic protein Bfl-1 (AID 621),Secondary,--,Burnham,Chemical Inhibitors of anti-apoptotic protein Bfl-1,John Reed,11,#N/A,
621,,MH077632-01,HTS discovery of chemical inhibitors of anti-apoptotic protein Bfl-1 (AID 432) (AID 621),Primary,--,Burnham,Chemical Inhibitors of anti-apoptotic protein Bfl-1,John Reed,11,#N/A,
748,,MH077632-01,High Throughput Fluorescence Polarization Screen for Bcl-B Phenotype Converters (AID 748),Primary,--,Burnham,Chemical Inhibitors of anti-apoptotic protein Bfl-1,John Reed,12,#N/A,
608,,MH078942-01,NMR Based Screening Assay for FKBP12 (AID 608),Primary,--,Burnham,Chemical Tools to Investigate the Protein Folding/Degradation Machinery,Maurizio Pellecchia,13,#N/A,
618,,MH078949-01,Luminescent HTS for small molecule inhibitors of MT1-MMP transcription (reporter gene assay) (AID 618) (AID 773),Primary,--,Burnham,Screening Chemicals to Suppress MT1-MMP Synthesis in Cancer,Alex Strongin,16,#N/A,
620,,MH078949-01,Fluorescent HTS Cytotoxicity/Cell viability assay (HT1080 cells)(cell viability assay) (AID 620),Primary,--,Burnham,Screening Chemicals to Suppress MT1-MMP Synthesis in Cancer,Alex Strongin,16,#N/A,
773,,MH078949-01,Luminescent HTS for small molecule inhibitors of MT1-MMP transcription (reporter gene assay) (AID 618) (AID 773),Primary,--,Burnham,Screening Chemicals to Suppress MT1-MMP Synthesis in Cancer,Alex Strongin,16,#N/A,
773,,MH078949-01,Counter Screen for Luciferase-based Assay Positives (AID 773),Secondary,--,Burnham,Screening Chemicals to Suppress MT1-MMP Synthesis in Cancer,Alex Strongin,16,#N/A,
750,,MH078949-01,Luminescent HTS for small molecule activators of MT1-MMP transcription (AID 750),Primary,--,Burnham,Screening Chemicals to Suppress MT1-MMP Synthesis in Cancer,Alex Strongin,17,#N/A,
568,,MH079863-01,High Throughput Screening Assay for Hsc70 Inhibitors (AID 568),Primary,--,Burnham,High Throughput Screening Assay for Hsp70 Inhibitors,John Reed,20,#N/A,
583,,MH079863-01,High Throughput Screening Assay for Hsp70 Inhibitors (AID 583) (AID 786),Primary,--,Burnham,High Throughput Screening Assay for Hsp70 Inhibitors,John Reed,21,#N/A,
786,,MH079863-01,TR-FRET secondary assay for HTS discovery of chemical inhibitors of Hsp70 (AID 786),Secondary,--,Burnham,High Throughput Screening Assay for Hsp70 Inhibitors,John Reed,21,#N/A,
1638,,MH081277-01,Chemical Antagonists of IAP-Family Anti-Apoptotic Proteins,Primary,--,Burnham,Chemical Antagonists of IAP-Family Anti-Apoptotic Proteins,John Reed,22,1638,1638
485369,,MH081277-01,SAR analysis of the effect of Antagonists of IAP-family anti-apoptotic proteins on rhTRAIL in MDA-MB-231 cells,Secondary,--,Burnham,Chemical Antagonists of IAP-Family Anti-Apoptotic Proteins,John Reed,22,#N/A,
485370,,MH081277-01,SAR analysis of the effect of Antagonists of IAP-family anti-apoptotic proteins on rhTRAIL in HeLa cells,Secondary,--,Burnham,Chemical Antagonists of IAP-Family Anti-Apoptotic Proteins,John Reed,22,#N/A,
488957,,MH081277-01,Chemical Antagonists of IAP-Family Anti-Apoptotic Proteins,Primary,--,Burnham,Chemical Antagonists of IAP-Family Anti-Apoptotic Proteins,John Reed,22,#N/A,
488963,,MH081277-01,SAR analysis of Antagonists of XIAP-Bir3 domain of IAP-family anti-apoptotic proteins,Secondary,--,Burnham,Chemical Antagonists of IAP-Family Anti-Apoptotic Proteins,John Reed,22,#N/A,
1443,,MH081232-01,Screening for Chemicals that Potentiate TRAIL-Induced Apoptosis of Cancer Cells,Primary,--,Burnham,Screening for Chemicals that Potentiate TRAIL-Induced Apoptosis of Cancer Cells,Dmitri Rozanov,23,#N/A,
1640,,MH081232-01,Screening for Chemicals that Potentiate TRAIL-Induced Apoptosis of Cancer Cells,Primary,--,Burnham,Screening for Chemicals that Potentiate TRAIL-Induced Apoptosis of Cancer Cells,Dmitri Rozanov,23,1640,1640
813,,MH082385-01,HTS identification of compounds activating TNAP at intermediate concentration of phosphate acceptor detected in luminescent assay (AID 813),Primary,--,Burnham,Activators of the Pyrophosphatase Activity of Alkaline Phosphatase,Jose Millan,26,#N/A,
436,,MH076382-01,HTS for BAP1 Enzyme inhibitors (AID 436) (AID 714) (AID 753),Primary,--,Emory,HTS Assay for Inhibitors of BAP1 a BRCA1 associated Deubiquitinating Enzyme,Keith Wilkinson,41,#N/A,
