aid, adid, context_name, load_result_type, num_potential_contexts_to_load, num_existing_contexts, num_contexts_loaded, message
624291, 420, biology, success, 2, null, 2, null, 
624291, 420, assay format, success, 2, null, 2, null, 
624291, 420, assay component, success, 5, null, 5, null, 
624291, 420, assay component, success, 4, null, 4, null, 
624291, 420, assay component, success, 4, null, 4, null, 
624291, 420, assay component, success, 4, null, 4, null, 
624291, 420, assay component, success, 4, null, 4, null, 
624291, 420, detection method type, success, 2, null, 2, null, 
624291, 420, assay readout, success, 2, null, 2, null, 
624291, 420, detection method, success, 2, null, 2, null, 
624291, 420, assay footprint, success, 1, null, 1, null, 
624291, 420, measurement wavelength, success, 2, null, 2, null, 
624294, null, assay format, fail, 1, null, 0, could not find ADID for AID, 
399, 334, biology, success, 1, null, 1, null, 
399, 334, assay format, success, 2, null, 2, null, 
399, 334, assay component, success, 5, null, 5, null, 
399, 334, detection method type, success, 2, null, 2, null, 
399, 334, assay readout, success, 3, null, 3, null, 
399, 334, assay footprint, success, 1, null, 1, null, 
399, 334, activity threshold, success, 3, null, 3, null, 
399, 334, number of replicates, deleteOriginal, 2, 1, 2, load contains more information than original, delete original 114331, 
399, 334, number of replicates, success, 2, null, 2, null, 
399, 334, project lead name, success, 1, null, 1, null, 
1817, 3905, biology, success, 2, null, 2, null, 
1817, 3905, assay format, success, 2, null, 2, null, 
1817, 3905, assay component, success, 6, null, 6, null, 
1817, 3905, detection method type, success, 2, null, 2, null, 
1817, 3905, assay readout, success, 3, null, 3, null, 
1817, 3905, assay footprint, success, 1, null, 1, null, 
1817, 3905, measurement wavelength, success, 2, null, 2, null, 
1817, 3905, activity threshold, success, 3, null, 3, null, 
1817, 3905, number of replicates, success, 2, null, 2, null, 
1817, 3905, biology, success, 2, null, 2, null, 
1817, 3905, assay format, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 115026, 
1817, 3905, assay component, success, 5, null, 5, null, 
1817, 3905, detection method type, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 115028, 
1817, 3905, assay readout, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 115029, 
1817, 3905, assay footprint, alreadyLoaded, 1, 1, 0, duplicate context already exists in database 115030, 
1817, 3905, measurement wavelength, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 115031, 
1817, 3905, activity threshold, alreadyLoaded, 3, 3, 0, duplicate context already exists in database 115032, 
1817, 3905, number of replicates, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 115033, 
1826, null, biology, fail, 2, null, 0, could not find ADID for AID, 
2127, 4341, biology, success, 2, null, 2, null, 
2127, 4341, assay format, success, 2, null, 2, null, 
2127, 4341, assay component, success, 5, null, 5, null, 
2127, 4341, detection method type, success, 2, null, 2, null, 
2127, 4341, assay readout, success, 3, null, 3, null, 
2127, 4341, assay footprint, success, 1, null, 1, null, 
2127, 4341, measurement wavelength, success, 2, null, 2, null, 
2127, 4341, activity threshold, success, 3, null, 3, null, 
2127, 4341, number of replicates, success, 2, null, 2, null, 
2141, 4386, biology, success, 2, null, 2, null, 
2141, 4386, assay format, success, 2, null, 2, null, 
2141, 4386, assay component, success, 6, null, 6, null, 
2141, 4386, detection method type, success, 2, null, 2, null, 
2141, 4386, assay readout, success, 3, null, 3, null, 
2141, 4386, detection method, success, 2, null, 2, null, 
2141, 4386, assay footprint, success, 1, null, 1, null, 
2141, 4386, measurement wavelength, success, 2, null, 2, null, 
2141, 4386, activity threshold, success, 3, null, 3, null, 
2141, 4386, number of replicates, success, 2, null, 2, null, 
2141, 4386, biology, success, 2, null, 2, null, 
2141, 4386, assay format, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 115046, 
2141, 4386, assay component, success, 5, null, 5, null, 
2141, 4386, detection method, success, 2, null, 2, null, 
1984, 3991, biology, success, 2, null, 2, null, 
1984, 3991, assay format, success, 2, null, 2, null, 
1984, 3991, assay component, success, 6, null, 6, null, 
1984, 3991, detection method type, success, 2, null, 2, null, 
1984, 3991, assay readout, success, 3, null, 3, null, 
1984, 3991, detection method, success, 2, null, 2, null, 
1984, 3991, assay footprint, success, 1, null, 1, null, 
1984, 3991, measurement wavelength, success, 2, null, 2, null, 
1984, 3991, activity threshold, success, 3, null, 3, null, 
1984, 3991, number of replicates, success, 2, null, 2, null, 
1984, 3991, project lead name, success, 1, null, 1, null, 
1984, 3991, biology, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 115058, 
1984, 3991, assay format, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 115059, 
1984, 3991, assay component, alreadyLoaded, 6, 6, 0, duplicate context already exists in database 115060, 
1984, 3991, detection method type, alreadyLoaded, 2, 2, 0, duplicate context already exists in database 115061, 
